user_id,first_name,last_name,email,phone_number,city,age,account_status,loyalty_tier,preferred_payment,signup_date,last_active_date,total_rides_taken,avg_rating_given,preferred_language,device_os,referral_source,is_business_account,promo_credits_balance,account_verified
7777627,Lucas,Flores,user7777627@gmail.com,+1-838-601-4268,Seattle,28,Active,Silver,Credit Card,2020-07-09,2022-06-24,15,3.1,Hindi,iOS,App Store,No,0.46,Yes
6684233,Mia,Thomas,user6684233@outlook.com,+1-747-182-8570,San Francisco,30,Active,Bronze,Debit Card,2019-09-30,2023-09-27,1,3.9,English,iOS,Corporate Deal,No,10.59,No
9442218,Lisa,King,user9442218@gmail.com,+1-346-417-1092,New York,19,Active,Bronze,Debit Card,2019-04-26,2020-04-01,6,4.5,Hindi,Web,Corporate Deal,No,0.4,Yes
6935921,Aisha,Carter,user6935921@proton.com,+1-327-198-2945,Minneapolis,24,Active,Bronze,Credit Card,2023-01-19,2023-03-03,30,4.0,English,iOS,Social Media,No,0.23,Yes
7068362,Fatima,Young,user7068362@proton.com,+1-544-942-7543,Phoenix,29,Active,Gold,Debit Card,2019-08-13,2023-11-18,8,2.6,English,iOS,Ad Campaign,No,0.44,Yes
4792419,Diana,Jackson,user4792419@proton.com,+1-503-548-2312,New York,61,Inactive,Silver,Corporate,2021-08-23,2022-02-03,15,3.0,English,iOS,Corporate Deal,No,10.53,No
5308988,Lucas,Carter,user5308988@proton.com,+1-399-488-6518,Chicago,73,Inactive,Bronze,App Wallet,2021-06-22,2023-03-20,30,2.9,Spanish,Web,Friend Referral,No,5.78,Yes
7991279,Emily,Hill,user7991279@yahoo.com,+1-201-634-6087,San Diego,59,Suspended,Diamond,Crypto,2020-12-19,2022-09-14,5,3.5,English,Android,Friend Referral,No,15.41,Yes
5823510,Sarah,Hall,user5823510@outlook.com,+1-578-670-5836,Phoenix,51,Active,Bronze,Promo Credit,2019-03-06,2020-01-26,2,2.6,English,Android,Ad Campaign,No,0.13,Yes
7526710,Lucas,Anderson,user7526710@proton.com,+1-786-740-8804,Seattle,28,Active,Diamond,Debit Card,2020-07-09,2023-08-01,4,3.9,Korean,Android,Organic,No,0.33,Yes
9942458,Sarah,Allen,user9942458@gmail.com,+1-248-450-9377,Austin,30,Active,Gold,Credit Card,2019-02-07,2024-01-23,4,2.8,English,Android,App Store,No,0.48,Yes
7126514,Lisa,Davis,user7126514@yahoo.com,+1-340-253-9934,San Francisco,43,Active,Gold,App Wallet,2020-09-07,2022-03-01,10,4.5,English,Android,Corporate Deal,No,0.96,Yes
1886030,Nina,Flores,user1886030@gmail.com,+1-436-485-2588,Nashville,30,Inactive,Diamond,App Wallet,2022-09-17,2023-07-06,15,2.9,Mandarin,Android,Organic,No,0.88,Yes
8447860,Tom,Rodriguez,user8447860@gmail.com,+1-492-929-5845,Seattle,21,Active,Silver,App Wallet,2021-08-31,2024-03-04,5,3.3,English,iOS,Corporate Deal,No,0.32,Yes
1579934,Ryan,Allen,user1579934@proton.com,+1-724-832-4732,Seattle,28,Active,Silver,Credit Card,2021-04-20,2023-11-24,3,4.2,English,iOS,Social Media,Yes,0.93,Yes
3210486,Mia,Martinez,user3210486@gmail.com,+1-859-136-9240,Nashville,21,Active,Diamond,Debit Card,2020-07-12,2023-01-31,50,3.0,English,iOS,App Store,Yes,20.09,Yes
4902730,Priya,Rodriguez,user4902730@proton.com,+1-955-354-3824,Houston,43,Inactive,Bronze,App Wallet,2023-02-14,2023-07-26,2,4.0,Spanish,Android,Social Media,Yes,0.22,Yes
7634218,Oliver,Miller,user7634218@gmail.com,+1-239-547-2018,Las Vegas,28,Active,Platinum,App Wallet,2019-08-14,2021-09-02,15,3.3,English,Android,Corporate Deal,No,0.29,Yes
2913881,Sarah,Johnson,user2913881@outlook.com,+1-437-244-2283,Los Angeles,43,Inactive,Bronze,Debit Card,2022-04-24,2022-12-01,8,3.0,English,iOS,Social Media,No,0.03,Yes
6763986,Emma,Nguyen,user6763986@proton.com,+1-771-997-7157,New York,33,Active,Platinum,Credit Card,2019-08-07,2019-08-10,10,2.7,Mandarin,Android,Ad Campaign,No,0.03,Yes
2719137,Lily,Johnson,user2719137@outlook.com,+1-279-895-7282,Austin,39,Active,Bronze,Debit Card,2021-08-11,2024-04-02,4,4.2,Portuguese,Android,App Store,No,20.32,No
9968851,Sofia,Scott,user9968851@proton.com,+1-546-709-2394,Orlando,32,Active,Bronze,Credit Card,2019-11-25,2022-05-04,4,4.0,English,iOS,App Store,No,5.57,Yes
6375810,Priya,Rodriguez,user6375810@outlook.com,+1-381-822-7805,Phoenix,77,Active,Platinum,App Wallet,2019-11-29,2020-01-07,30,4.7,English,iOS,Ad Campaign,No,0.84,Yes
5599081,Ryan,Carter,user5599081@proton.com,+1-422-966-9218,Houston,54,Active,Silver,Debit Card,2019-04-20,2024-06-11,4,3.5,Spanish,iOS,Friend Referral,No,0.79,Yes
6956936,Isabella,Allen,user6956936@gmail.com,+1-210-532-2448,New York,37,Active,Bronze,Credit Card,2019-08-08,2021-07-12,20,3.9,Arabic,iOS,Friend Referral,No,0.72,Yes
3906365,Fatima,Harris,user3906365@proton.com,+1-542-616-1701,Portland,39,Active,Diamond,Debit Card,2020-08-13,2021-05-16,5,4.9,Spanish,iOS,Friend Referral,Yes,0.9,No
4884674,Lily,Green,user4884674@outlook.com,+1-221-116-6636,Dallas,72,Active,Silver,Credit Card,2022-08-12,2024-08-21,8,3.9,English,Android,Ad Campaign,No,0.33,No
2686440,Tom,Williams,user2686440@yahoo.com,+1-843-194-8779,Houston,41,Active,Platinum,Debit Card,2021-07-07,2021-08-27,5,3.0,English,Android,App Store,No,20.97,Yes
2058890,Emily,Carter,user2058890@outlook.com,+1-482-517-3112,Austin,32,Active,Platinum,Promo Credit,2019-11-03,2019-11-17,5,3.1,English,Android,Organic,No,0.14,Yes
3153148,Zoe,Moore,user3153148@proton.com,+1-866-167-9188,Austin,23,Inactive,Bronze,Debit Card,2022-09-11,2024-04-29,100,2.6,English,iOS,Organic,No,0.13,Yes
6960581,James,Wright,user6960581@yahoo.com,+1-858-637-8506,San Diego,19,Active,Gold,Credit Card,2019-05-05,2019-11-22,4,4.3,English,iOS,Corporate Deal,No,15.96,No
8677952,Elijah,Allen,user8677952@outlook.com,+1-977-610-3231,Austin,30,Active,Bronze,Promo Credit,2019-03-06,2019-06-16,10,4.2,Spanish,iOS,Ad Campaign,No,0.83,Yes
5428220,Andre,Carter,user5428220@outlook.com,+1-690-100-3816,Los Angeles,56,Active,Bronze,Credit Card,2021-02-28,2023-03-13,5,3.5,English,Android,Corporate Deal,No,0.85,Yes
6400031,Aisha,Adams,user6400031@proton.com,+1-675-384-8886,Seattle,62,Active,Gold,Credit Card,2022-05-31,2023-02-05,5,2.9,Spanish,Android,Organic,No,0.58,Yes
8836487,Isabella,Thomas,user8836487@gmail.com,+1-291-329-5052,Phoenix,76,Inactive,Silver,Crypto,2020-01-01,2023-05-18,20,3.8,Mandarin,Web,Friend Referral,No,0.72,Yes
8897422,Priya,Adams,user8897422@proton.com,+1-810-993-8119,Seattle,31,Active,Gold,Credit Card,2021-03-24,2023-02-02,0,,Hindi,Android,Ad Campaign,No,0.48,Yes
4075067,Chloe,Miller,user4075067@proton.com,+1-234-791-8446,Chicago,38,Active,Bronze,Credit Card,2023-05-31,2024-06-12,4,3.6,English,Web,Organic,No,0.78,No
8208301,Jake,Martin,user8208301@gmail.com,+1-554-822-1985,Minneapolis,24,Pending Verification,Gold,Credit Card,2019-01-02,2019-12-19,15,2.8,English,Android,Friend Referral,No,10.18,Yes
6913136,Tom,Baker,user6913136@gmail.com,+1-418-917-7552,Portland,28,Suspended,Bronze,App Wallet,2021-12-13,2023-05-21,1,3.6,English,iOS,Corporate Deal,No,5.78,Yes
9292540,Maria,King,user9292540@outlook.com,+1-906-821-1057,San Francisco,36,Active,Bronze,App Wallet,2019-03-31,2021-05-31,2,2.8,Spanish,Web,Corporate Deal,No,20.26,Yes
4871844,Oliver,Davis,user4871844@outlook.com,+1-598-982-6256,New York,41,Pending Verification,Platinum,Credit Card,2019-09-02,2020-06-01,2,2.7,English,iOS,Social Media,No,15.01,Yes
4198878,Oscar,Johnson,user4198878@gmail.com,+1-358-133-6000,Seattle,50,Pending Verification,Silver,Credit Card,2023-03-27,2024-10-18,3,4.3,English,iOS,Ad Campaign,No,20.06,Yes
2895881,Noah,Nguyen,user2895881@proton.com,+1-568-243-4812,Portland,26,Active,Silver,Debit Card,2019-09-18,2024-06-23,10,4.2,English,Web,Friend Referral,No,0.75,Yes
4668325,David,Anderson,user4668325@gmail.com,+1-402-378-8165,Dallas,45,Active,Bronze,Credit Card,2022-12-22,2024-08-22,2,4.3,English,iOS,Organic,Yes,15.27,Yes
7231635,Oliver,Hill,user7231635@proton.com,+1-528-178-6807,San Diego,32,Active,Bronze,App Wallet,2020-06-24,2024-04-07,1,2.9,Spanish,Android,Corporate Deal,No,0.31,Yes
8837924,Priya,Wilson,user8837924@yahoo.com,+1-375-741-7981,Los Angeles,24,Inactive,Silver,Corporate,2022-07-17,2023-06-10,3,4.5,English,Android,Friend Referral,No,10.53,Yes
8393398,Wei,Adams,user8393398@proton.com,+1-750-452-8835,New York,45,Active,Gold,App Wallet,2022-11-10,2024-01-05,100,3.8,English,iOS,Corporate Deal,Yes,0.87,Yes
9781905,Grayson,Brown,user9781905@gmail.com,+1-814-302-9341,Boston,19,Active,Bronze,Corporate,2021-06-23,2024-11-15,5,4.2,Spanish,Android,Social Media,No,30.34,Yes
4518863,Logan,Nelson,user4518863@yahoo.com,+1-687-384-5212,New York,39,Active,Platinum,Credit Card,2021-05-13,2022-04-23,8,4.3,Hindi,iOS,Organic,No,0.84,Yes
7356632,Elijah,Carter,user7356632@yahoo.com,+1-749-480-4189,San Diego,23,Active,Bronze,Debit Card,2021-04-25,2023-09-14,5,3.8,English,Android,App Store,No,0.91,Yes
9718927,Emma,Jackson,user9718927@outlook.com,+1-531-205-1405,San Diego,22,Active,Bronze,Credit Card,2019-01-10,2024-03-26,8,4.0,English,iOS,Social Media,No,0.47,Yes
4664764,Fatima,Baker,user4664764@gmail.com,+1-285-490-4016,Seattle,29,Active,Gold,Credit Card,2022-12-07,2024-09-18,30,2.6,Spanish,Android,Organic,Yes,0.33,Yes
4893031,Aria,Lewis,user4893031@proton.com,+1-803-718-6343,Portland,32,Active,Silver,App Wallet,2019-08-31,2020-04-02,6,3.7,English,iOS,Ad Campaign,No,5.35,Yes
1772895,Fatima,Garcia,user1772895@proton.com,+1-804-984-7723,Phoenix,42,Active,Bronze,Credit Card,2019-03-08,2022-12-11,6,2.6,English,iOS,Friend Referral,No,0.64,No
6991654,Wei,Smith,user6991654@outlook.com,+1-749-428-4193,Houston,46,Active,Bronze,Debit Card,2023-01-28,2023-02-22,6,3.5,English,Android,App Store,No,5.16,No
2237523,Ryan,Scott,user2237523@gmail.com,+1-955-146-8743,Portland,36,Active,Platinum,Corporate,2023-05-13,2023-06-16,50,3.3,English,iOS,Corporate Deal,No,0.57,Yes
1568871,Logan,Lewis,user1568871@gmail.com,+1-684-612-2801,Phoenix,36,Active,Gold,Promo Credit,2019-09-29,2023-12-26,4,4.3,Korean,Web,Organic,No,0.23,Yes
3288510,Mason,Nelson,user3288510@outlook.com,+1-298-628-9186,New York,29,Suspended,Platinum,App Wallet,2019-03-08,2021-05-15,6,3.0,Spanish,iOS,Friend Referral,No,0.68,Yes
1141334,Mohammed,Robinson,user1141334@yahoo.com,+1-831-244-2772,Miami,44,Inactive,Silver,Debit Card,2022-09-13,2024-04-24,30,4.7,English,Web,Ad Campaign,Yes,0.65,Yes
9924829,Chloe,Moore,user9924829@yahoo.com,+1-960-239-6919,San Francisco,23,Active,Bronze,Debit Card,2022-09-19,2024-12-07,6,4.8,Hindi,iOS,Friend Referral,No,50.76,Yes
6767405,Tom,Carter,user6767405@gmail.com,+1-268-997-4747,New York,35,Active,Silver,Credit Card,2021-04-16,2024-07-29,10,4.0,Spanish,Android,App Store,No,0.49,Yes
8534159,Mei,Harris,user8534159@gmail.com,+1-332-695-1845,Dallas,21,Active,Gold,App Wallet,2019-01-03,2024-01-07,5,4.7,Spanish,iOS,Friend Referral,No,30.21,Yes
1053378,Ethan,Jackson,user1053378@outlook.com,+1-883-339-2753,Miami,29,Active,Bronze,App Wallet,2022-09-01,2024-07-27,5,3.8,English,Android,Organic,No,5.18,Yes
2470522,Ava,Wilson,user2470522@proton.com,+1-515-492-8485,Portland,34,Active,Bronze,Debit Card,2021-02-15,2022-08-11,8,2.8,Portuguese,Android,Social Media,No,0.63,Yes
4619100,Liam,Wilson,user4619100@outlook.com,+1-378-394-2583,Boston,34,Active,Bronze,Debit Card,2022-07-23,2023-09-06,4,4.6,Spanish,Android,Organic,No,0.98,Yes
4884601,Carlos,Brown,user4884601@outlook.com,+1-703-634-4794,San Francisco,37,Active,Bronze,Credit Card,2023-03-14,2024-06-10,30,3.0,Korean,Android,App Store,Yes,0.17,No
4224735,Liam,Martinez,user4224735@outlook.com,+1-389-947-1422,New York,37,Active,Bronze,Credit Card,2019-01-18,2020-04-15,30,3.8,English,Android,App Store,No,15.62,Yes
